league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Market  Value (EUROS)
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,32,31,2590,28.8,5,3,8,5,0,0,2,1,6.9,6.9,3.1,10,98,79,216,0.17,0.1,0.28,0.17,0.28,0.24,0.11,0.35,0.24,0.35,40000000
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29,1995,35,30,2567,28.5,9,1,10,9,0,0,8,0,6.7,6.7,1,7.8,9,74,68,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,18000000
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,33,31,2472,27.5,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.3,10,109,11,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,25000000
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29,29,2609,29,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2500000
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,36,35,2974,33,3,1,4,3,0,0,11,1,2.9,2.9,1.2,4.1,59,165,76,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12,35000000
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,35,30,2587,28.7,14,4,18,14,0,0,4,0,10.3,10.3,3,13.3,17,29,112,0.49,0.14,0.63,0.49,0.63,0.36,0.1,0.46,0.36,0.46,25000000
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57,55000000
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,30,1993,34,32,2886,32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0,0.12,0.12,0,0.12,0.03,0.09,0.12,0.03,0.12,9000000
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,28000000
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,31,30,2614,29,0,1,1,0,0,0,7,0,0.7,0.7,0.9,1.7,27,86,18,0,0.03,0.03,0,0.03,0.03,0.03,0.06,0.03,0.06,28000000
